,id,Group,time-point,HPRT1,MX1,IRF7,OAS1,MX1 Ct ratio,IRF7 Ct ratio,OAS1 Ct ratio,MX1 Ct log,IRF7 Ct log,OAS1 Ct log,delta MX1,delta HPRT1,delta-delta MX1,Fold Change MX1,delta IRF7,delta-delta IRF7,Fold Change IRF7,delta OAS1,delta-delta OAS1,Fold Change OAS1
13,16,rapamycin + HIV,Bleed 9-9,33.2486762150449,29.5120935589344,28.9549818807535,30.2320633717123,0.8876170999427727,0.8708611943970112,0.9092711895107692,0.11921482273886667,0.1382726783230177,0.09511189100300253,-0.9985195622680827,0.7656949122009777,-1.7642144744690604,3.3968899379735373,-0.6159641824970628,-1.3816590946980405,2.605678510529596,-1.2085092125425163,-1.974204124743494,3.9291142661732343
14,17,DMSO + HIV,Bleed 9-9,34.1219422470882,30.69423411291,29.9485324299307,31.1164883482038,0.8995453392026445,0.8776913170142406,0.9119201985302912,0.1058658219672869,0.1304603223186778,0.09220279434781786,0.18362099170751733,1.6389609442442747,-1.4553399525367574,2.7422117007638844,0.3775863666801378,-1.261374577564137,2.3972403751011337,-0.3240842360510179,-1.9630451802952926,3.898840620064297
15,18,spermidine + HIV,Bleed 9-9,33.4590931034294,30.1001631149727,29.1982190973065,30.4382063221795,0.8996108478471453,0.8726542290625867,0.9097140268592553,0.10579300044684159,0.13621587369306046,0.09462498505868851,-0.4104500062297838,0.9761118005854783,-1.386561806815262,2.6145484534612105,-0.3727269659440644,-1.3488387665295427,2.5470702779274905,-1.0023662620753164,-1.9784780626607947,3.940771399940472
16,19,DMSO + HIV,Bleed 9-9,32.1622625035359,28.4447828249532,27.9045127184719,29.2567835044138,0.8844148579978165,0.8676165961708724,0.9096618591803772,0.12282903005197783,0.1420053713847177,0.0946823318436961,-2.065830296249281,-0.3207187993080254,-1.7451114969412558,3.3522075999708223,-1.666433344778664,-1.3457145454706385,2.5415604506183196,-2.1837890798410164,-1.863070280532991,3.6378102179137946
17,20,rapamycin + HIV,Bleed 9-9,31.9359153286105,28.2762792808531,27.810207461698,28.881196170249,0.8854068840645117,0.8708129131587348,0.9043484701493788,0.12170798362451908,0.1383281206564362,0.10054051703772175,-2.2343338403493824,-0.5470659742334263,-1.6872678661159561,3.220462440309662,-1.7607386015525641,-1.2136726273191378,2.3192729657859483,-2.559376414005815,-2.0123104397723885,4.034277823915784
18,21,spermidine + HIV,Bleed 9-9,33.2682347552499,29.6486756349779,29.0401414159135,29.9733878858239,0.8912007460900577,0.872908996511479,0.9009611753173632,0.11518557263480708,0.1359239708310286,0.1042931129599827,-0.8619374862245834,0.7852534524059749,-1.6471909386305583,3.1322317039927494,-0.5308046473370638,-1.3160580997430387,2.4898487391197763,-1.4671846984309163,-2.252438150836891,4.764874284433787
19,22,rapamycin + HIV,Bleed 9-9,35.0322757648446,30.9451705625993,30.3871106518658,31.5930704578266,0.8833331517004451,0.8674032727945042,0.9018275224223574,0.12405285429213758,0.14225127447926875,0.10333199403043641,0.4345574413968194,2.549294462000674,-2.1147370206038545,4.331110620457342,0.8161645886152371,-1.7331298733854368,3.324482707395449,0.15249787357178235,-2.3967965884288915,5.266325114818858
20,23,rapamycin + HIV,Bleed 9-9,32.9034577039187,29.0423508213348,28.6477096660061,29.7353026388953,0.8826534610031561,0.8706595496373699,0.9037136129116886,0.12482261180440965,0.1385042515170013,0.10124276865809283,-1.468262299867682,0.42047640107477235,-1.8887387009424543,3.703113326276991,-0.9232363972444624,-1.3437127983192347,2.5380364671218394,-1.7052699453595181,-2.1257463464342905,4.364288114880246
21,24,spermidine + HIV,Bleed 9-9,32.9790571630009,29.2343374086492,29.0412197140435,30.102131716657,0.8864515824135539,0.8805958148077304,0.9127650789977247,0.1205287715261885,0.12715653833163396,0.09127673817997552,-1.2762757125532822,0.4960758601569779,-1.7723515727102601,3.4161032319141955,-0.5297263492070634,-1.0258022093640413,2.036091236312907,-1.3384408675978179,-1.8345167277547958,3.5665191692662206
22,26,rapamycin + HIV,Bleed 9-9,32.9466423670108,28.8755695321044,28.255782968048,29.3553789634445,0.8764343634912329,0.857622535652989,0.8909975904809588,0.13189346220382275,0.15359121143040486,0.11541355580122582,-1.635043589098082,0.46366106416687813,-2.09870465326496,4.283246342139042,-1.3151630952025641,-1.7788241593694423,3.431463857615615,-2.0851936208103155,-2.5488546849771936,5.851695442873897
23,27,spermidine + HIV,Bleed 9-9,33.1775824709688,29.2851950384005,28.9258481246746,30.0727384740071,0.882680197209238,0.8718491815968035,0.906417413032474,0.12479232154629384,0.1371388269163239,0.09825535825199723,-1.2254180828019834,0.6946011681248763,-1.9200192509268597,3.784281082974132,-0.6450979385759616,-1.339699106700838,2.530985262144756,-1.367834110247717,-2.062435278372593,4.176907742685424
